,start_time,away_team,home_team,est_time
100,2019-11-05 20:00:00+00:00,ORLANDO_MAGIC,OKLAHOMA_CITY_THUNDER,2019-11-05 15:00:00-05:00
101,2019-11-05 21:00:00+00:00,MIAMI_HEAT,DENVER_NUGGETS,2019-11-05 16:00:00-05:00
102,2019-11-06 19:00:00+00:00,NEW_YORK_KNICKS,DETROIT_PISTONS,2019-11-06 14:00:00-05:00
103,2019-11-06 19:00:00+00:00,WASHINGTON_WIZARDS,INDIANA_PACERS,2019-11-06 14:00:00-05:00
104,2019-11-06 19:30:00+00:00,CHICAGO_BULLS,ATLANTA_HAWKS,2019-11-06 14:30:00-05:00
105,2019-11-06 19:30:00+00:00,GOLDEN_STATE_WARRIORS,HOUSTON_ROCKETS,2019-11-06 14:30:00-05:00
106,2019-11-06 19:30:00+00:00,SACRAMENTO_KINGS,TORONTO_RAPTORS,2019-11-06 14:30:00-05:00
107,2019-11-06 20:00:00+00:00,MINNESOTA_TIMBERWOLVES,MEMPHIS_GRIZZLIES,2019-11-06 15:00:00-05:00
108,2019-11-06 20:30:00+00:00,ORLANDO_MAGIC,DALLAS_MAVERICKS,2019-11-06 15:30:00-05:00
109,2019-11-06 21:00:00+00:00,PHILADELPHIA_76ERS,UTAH_JAZZ,2019-11-06 16:00:00-05:00
110,2019-11-06 22:00:00+00:00,MILWAUKEE_BUCKS,LOS_ANGELES_CLIPPERS,2019-11-06 17:00:00-05:00
111,2019-11-07 20:00:00+00:00,BOSTON_CELTICS,CHARLOTTE_HORNETS,2019-11-07 15:00:00-05:00
112,2019-11-07 20:30:00+00:00,OKLAHOMA_CITY_THUNDER,SAN_ANTONIO_SPURS,2019-11-07 15:30:00-05:00
113,2019-11-07 21:00:00+00:00,MIAMI_HEAT,PHOENIX_SUNS,2019-11-07 16:00:00-05:00
114,2019-11-07 22:30:00+00:00,PORTLAND_TRAIL_BLAZERS,LOS_ANGELES_CLIPPERS,2019-11-07 17:30:00-05:00
115,2019-11-08 19:00:00+00:00,DETROIT_PISTONS,INDIANA_PACERS,2019-11-08 14:00:00-05:00
116,2019-11-08 19:00:00+00:00,MEMPHIS_GRIZZLIES,ORLANDO_MAGIC,2019-11-08 14:00:00-05:00
117,2019-11-08 19:00:00+00:00,CLEVELAND_CAVALIERS,WASHINGTON_WIZARDS,2019-11-08 14:00:00-05:00
118,2019-11-08 19:30:00+00:00,SACRAMENTO_KINGS,ATLANTA_HAWKS,2019-11-08 14:30:00-05:00
119,2019-11-08 20:00:00+00:00,GOLDEN_STATE_WARRIORS,MINNESOTA_TIMBERWOLVES,2019-11-08 15:00:00-05:00
120,2019-11-08 20:00:00+00:00,TORONTO_RAPTORS,NEW_ORLEANS_PELICANS,2019-11-08 15:00:00-05:00
121,2019-11-08 20:30:00+00:00,NEW_YORK_KNICKS,DALLAS_MAVERICKS,2019-11-08 15:30:00-05:00
122,2019-11-08 21:00:00+00:00,PHILADELPHIA_76ERS,DENVER_NUGGETS,2019-11-08 16:00:00-05:00
123,2019-11-08 21:00:00+00:00,MILWAUKEE_BUCKS,UTAH_JAZZ,2019-11-08 16:00:00-05:00
124,2019-11-08 22:00:00+00:00,BROOKLYN_NETS,PORTLAND_TRAIL_BLAZERS,2019-11-08 17:00:00-05:00
125,2019-11-08 22:30:00+00:00,MIAMI_HEAT,LOS_ANGELES_LAKERS,2019-11-08 17:30:00-05:00
126,2019-11-09 17:00:00+00:00,BOSTON_CELTICS,SAN_ANTONIO_SPURS,2019-11-09 12:00:00-05:00
127,2019-11-09 19:00:00+00:00,NEW_ORLEANS_PELICANS,CHARLOTTE_HORNETS,2019-11-09 14:00:00-05:00
128,2019-11-09 20:00:00+00:00,HOUSTON_ROCKETS,CHICAGO_BULLS,2019-11-09 15:00:00-05:00
129,2019-11-09 20:00:00+00:00,DALLAS_MAVERICKS,MEMPHIS_GRIZZLIES,2019-11-09 15:00:00-05:00
130,2019-11-09 20:00:00+00:00,GOLDEN_STATE_WARRIORS,OKLAHOMA_CITY_THUNDER,2019-11-09 15:00:00-05:00
131,2019-11-10 15:30:00+00:00,DENVER_NUGGETS,MINNESOTA_TIMBERWOLVES,2019-11-10 10:30:00-05:00
132,2019-11-10 18:00:00+00:00,INDIANA_PACERS,ORLANDO_MAGIC,2019-11-10 13:00:00-05:00
133,2019-11-10 18:00:00+00:00,CHARLOTTE_HORNETS,PHILADELPHIA_76ERS,2019-11-10 13:00:00-05:00
134,2019-11-10 19:00:00+00:00,MILWAUKEE_BUCKS,OKLAHOMA_CITY_THUNDER,2019-11-10 14:00:00-05:00
135,2019-11-10 19:30:00+00:00,CLEVELAND_CAVALIERS,NEW_YORK_KNICKS,2019-11-10 14:30:00-05:00
